Age,All,Male,Female,All_prop,Male_prop,Female_prop
12-34,8698080,4360705,4337375,0.312102005,0.321986379,0.302757494
35-49,7173935,3524635,3649310,0.257413072,0.260252519,0.254729173
50-64,7052270,3459020,3593260,0.253047524,0.255407629,0.250816771
65-74,2674780,1281445,1393335,0.095975687,0.094619525,0.097257584
75+,2270285,917330,1352955,0.081461713,0.067733948,0.094438979
12-34,8698080,4360705,4337375,0.312102005,0.321986379,0.302757494
35-49,7173935,3524635,3649310,0.257413072,0.260252519,0.254729173
50-64,7052270,3459020,3593260,0.253047524,0.255407629,0.250816771
65-74,2674780,1281445,1393335,0.095975687,0.094619525,0.097257584
75+,2270285,917330,1352955,0.081461713,0.067733948,0.094438979
12-34,8698080,4360705,4337375,0.312102005,0.321986379,0.302757494
35-49,7173935,3524635,3649310,0.257413072,0.260252519,0.254729173
50-64,7052270,3459020,3593260,0.253047524,0.255407629,0.250816771
65-74,2674780,1281445,1393335,0.095975687,0.094619525,0.097257584
75+,2270285,917330,1352955,0.081461713,0.067733948,0.094438979
12-34,8698080,4360705,4337375,0.312102005,0.321986379,0.302757494
35-49,7173935,3524635,3649310,0.257413072,0.260252519,0.254729173
50-64,7052270,3459020,3593260,0.253047524,0.255407629,0.250816771
65-74,2674780,1281445,1393335,0.095975687,0.094619525,0.097257584
75+,2270285,917330,1352955,0.081461713,0.067733948,0.094438979
12-34,8698080,4360705,4337375,0.312102005,0.321986379,0.302757494
35-49,7173935,3524635,3649310,0.257413072,0.260252519,0.254729173
50-64,7052270,3459020,3593260,0.253047524,0.255407629,0.250816771
65-74,2674780,1281445,1393335,0.095975687,0.094619525,0.097257584
75+,2270285,917330,1352955,0.081461713,0.067733948,0.094438979
12-34,8698080,4360705,4337375,0.312102005,0.321986379,0.302757494
35-49,7173935,3524635,3649310,0.257413072,0.260252519,0.254729173
50-64,7052270,3459020,3593260,0.253047524,0.255407629,0.250816771
65-74,2674780,1281445,1393335,0.095975687,0.094619525,0.097257584
75+,2270285,917330,1352955,0.081461713,0.067733948,0.094438979
12-34,8698080,4360705,4337375,0.312102005,0.321986379,0.302757494
35-49,7173935,3524635,3649310,0.257413072,0.260252519,0.254729173
50-64,7052270,3459020,3593260,0.253047524,0.255407629,0.250816771
65-74,2674780,1281445,1393335,0.095975687,0.094619525,0.097257584
75+,2270285,917330,1352955,0.081461713,0.067733948,0.094438979
12-34,8698080,4360705,4337375,0.312102005,0.321986379,0.302757494
35-49,7173935,3524635,3649310,0.257413072,0.260252519,0.254729173
50-64,7052270,3459020,3593260,0.253047524,0.255407629,0.250816771
65-74,2674780,1281445,1393335,0.095975687,0.094619525,0.097257584
75+,2270285,917330,1352955,0.081461713,0.067733948,0.094438979
12-34,8698080,4360705,4337375,0.312102005,0.321986379,0.302757494
35-49,7173935,3524635,3649310,0.257413072,0.260252519,0.254729173
50-64,7052270,3459020,3593260,0.253047524,0.255407629,0.250816771
65-74,2674780,1281445,1393335,0.095975687,0.094619525,0.097257584
75+,2270285,917330,1352955,0.081461713,0.067733948,0.094438979
